winner,weekID,AwayTeam,HomeTeam,Location,Points,rank,EWETL,EWETW
Dallas The boys,11,'R'm Chair Quarterback,Dallas The boys,awaypoints,0,5.5,4.5,4.5
The Chief,11,Team Ward,The Chief,awaypoints,0,5.5,4.5,4.5
Compute This!,11,Analysis Paralysis,Compute This!,awaypoints,0,5.5,4.5,4.5
The OBJective Functions,11,Philly Chapmaniacs,The OBJective Functions,awaypoints,0,5.5,4.5,4.5
The Plainsmen,11,Palindrome Tikkit,The Plainsmen,homepoints,0,5.5,4.5,4.5
Dallas The boys,11,'R'm Chair Quarterback,Dallas The boys,homepoints,0,5.5,4.5,4.5
The Chief,11,Team Ward,The Chief,homepoints,0,5.5,4.5,4.5
Compute This!,11,Analysis Paralysis,Compute This!,homepoints,0,5.5,4.5,4.5
The OBJective Functions,11,Philly Chapmaniacs,The OBJective Functions,homepoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,12,The Chief,'R'm Chair Quarterback,awaypoints,0,5.5,4.5,4.5
Analysis Paralysis,12,The Plainsmen,Analysis Paralysis,awaypoints,0,5.5,4.5,4.5
Palindrome Tikkit,12,The OBJective Functions,Palindrome Tikkit,awaypoints,0,5.5,4.5,4.5
Compute This!,12,Dallas The boys,Compute This!,awaypoints,0,5.5,4.5,4.5
Team Ward,12,Philly Chapmaniacs,Team Ward,awaypoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,12,The Chief,'R'm Chair Quarterback,homepoints,0,5.5,4.5,4.5
Analysis Paralysis,12,The Plainsmen,Analysis Paralysis,homepoints,0,5.5,4.5,4.5
Palindrome Tikkit,12,The OBJective Functions,Palindrome Tikkit,homepoints,0,5.5,4.5,4.5
Compute This!,12,Dallas The boys,Compute This!,homepoints,0,5.5,4.5,4.5
Team Ward,12,Philly Chapmaniacs,Team Ward,homepoints,0,5.5,4.5,4.5
Analysis Paralysis,13,The OBJective Functions,Analysis Paralysis,awaypoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,13,Compute This!,'R'm Chair Quarterback,awaypoints,0,5.5,4.5,4.5
Philly Chapmaniacs,13,The Chief,Philly Chapmaniacs,awaypoints,0,5.5,4.5,4.5
The Plainsmen,13,Dallas The boys,The Plainsmen,awaypoints,0,5.5,4.5,4.5
Team Ward,13,Palindrome Tikkit,Team Ward,awaypoints,0,5.5,4.5,4.5
Analysis Paralysis,13,The OBJective Functions,Analysis Paralysis,homepoints,0,5.5,4.5,4.5
'R'm Chair Quarterback,13,Compute This!,'R'm Chair Quarterback,homepoints,0,5.5,4.5,4.5
Philly Chapmaniacs,13,The Chief,Philly Chapmaniacs,homepoints,0,5.5,4.5,4.5
The Plainsmen,13,Dallas The boys,The Plainsmen,homepoints,0,5.5,4.5,4.5
Team Ward,13,Palindrome Tikkit,Team Ward,homepoints,0,5.5,4.5,4.5
